Iris-versicolor,5.5,2.3,4.0,1.3
Iris-versicolor,5.7,2.8,4.5,1.3
Iris-versicolor,5.2,2.7,3.9,1.4
Iris-versicolor,5.9,3.0,4.2,1.5
Iris-versicolor,5.6,2.9,3.6,1.3
Iris-versicolor,5.6,3.0,4.5,1.5
Iris-versicolor,5.8,2.7,4.1,1.0
Iris-versicolor,5.6,2.5,3.9,1.1
Iris-versicolor,6.1,2.8,4.0,1.3
Iris-versicolor,5.7,2.6,3.5,1.0
Iris-versicolor,5.5,2.4,3.8,1.1
Iris-versicolor,5.5,2.4,3.7,1.0
Iris-versicolor,5.8,2.7,3.9,1.2
Iris-versicolor,5.4,3.0,4.5,1.5
Iris-versicolor,5.6,3.0,4.1,1.3
Iris-versicolor,5.5,2.5,4.0,1.3
Iris-versicolor,5.5,2.6,4.4,1.2
Iris-versicolor,5.8,2.6,4.0,1.2
Iris-versicolor,5.6,2.7,4.2,1.3
Iris-versicolor,5.7,3.0,4.2,1.2
Iris-versicolor,5.7,2.9,4.2,1.3
Iris-versicolor,5.7,2.8,4.1,1.3
Iris-virginica,4.9,2.5,4.5,1.7
