Iris-versicolor,7.0,3.2,4.7,1.4
Iris-versicolor,6.4,3.2,4.5,1.5
Iris-versicolor,6.9,3.1,4.9,1.5
Iris-versicolor,6.5,2.8,4.6,1.5
Iris-versicolor,6.3,3.3,4.7,1.6
Iris-versicolor,6.6,2.9,4.6,1.3
Iris-versicolor,6.1,2.9,4.7,1.4
Iris-versicolor,6.7,3.1,4.4,1.4
Iris-versicolor,5.9,3.2,4.8,1.8
Iris-versicolor,6.3,2.5,4.9,1.5
Iris-versicolor,6.1,2.8,4.7,1.2
Iris-versicolor,6.4,2.9,4.3,1.3
Iris-versicolor,6.6,3.0,4.4,1.4
Iris-versicolor,6.8,2.8,4.8,1.4
Iris-versicolor,6.7,3.0,5.0,1.7
Iris-versicolor,6.0,2.9,4.5,1.5
Iris-versicolor,6.0,2.7,5.1,1.6
Iris-versicolor,6.0,3.4,4.5,1.6
Iris-versicolor,6.7,3.1,4.7,1.5
Iris-versicolor,6.1,3.0,4.6,1.4
Iris-versicolor,6.2,2.9,4.3,1.3
Iris-virginica,5.8,2.7,5.1,1.9
Iris-virginica,6.5,3.2,5.1,2.0
Iris-virginica,6.4,2.7,5.3,1.9
Iris-virginica,5.7,2.5,5.0,2.0
Iris-virginica,5.8,2.8,5.1,2.4
Iris-virginica,5.6,2.8,4.9,2.0
Iris-virginica,6.3,2.7,4.9,1.8
Iris-virginica,6.2,2.8,4.8,1.8
Iris-virginica,6.1,3.0,4.9,1.8
Iris-virginica,6.3,2.8,5.1,1.5
Iris-virginica,6.1,2.6,5.6,1.4
Iris-virginica,6.0,3.0,4.8,1.8
Iris-virginica,5.8,2.7,5.1,1.9
Iris-virginica,6.3,2.5,5.0,1.9
Iris-virginica,6.5,3.0,5.2,2.0
Iris-virginica,5.9,3.0,5.1,1.8
